test/mean_Q,train/episode,stats_o/std,test/episode,stats_o/mean,test/success_rate,train/success_rate,stats_g/mean,stats_g/std,epoch
-3.1618218,500.0,0.7598643,100.0,0.19545467,0.0,0.0005,0.38396743,0.2267114,0
-5.198876,1000.0,0.748387,200.0,0.19693801,0.0325,0.002,0.38359636,0.22730203,1
-7.5384703,1500.0,0.74337524,300.0,0.197295,0.01,0.005000000000000001,0.38251743,0.22754848,2
-9.270714,2000.0,0.74204737,400.0,0.19720523,0.03,0.0125,0.3824322,0.22771914,3
-11.111616,2500.0,0.74327475,500.0,0.19685526,0.0425,0.017,0.3822537,0.22777607,4
-12.558443,3000.0,0.74524146,600.0,0.19670093,0.0625,0.0245,0.3819591,0.22785482,5
-14.158109,3500.0,0.7485621,700.0,0.19662136,0.07749999999999999,0.031000000000000007,0.38184312,0.22835203,6
-15.421513,4000.0,0.7513352,800.0,0.19669077,0.0975,0.030000000000000002,0.38143286,0.22903697,7
-17.283077,4500.0,0.7550127,900.0,0.1968672,0.065,0.04000000000000001,0.380991,0.22949322,8
-17.916508,5000.0,0.7594466,1000.0,0.19693014,0.11,0.052500000000000005,0.38080463,0.22974025,9
-19.050636,5500.0,0.7638727,1100.0,0.19703934,0.1325,0.05500000000000001,0.38029632,0.2302572,10
-19.928131,6000.0,0.7692665,1200.0,0.19697872,0.15000000000000002,0.0665,0.38028675,0.23068585,11
-20.611809,6500.0,0.7748419,1300.0,0.19673342,0.13,0.0645,0.37988713,0.231158,12
-21.265896,7000.0,0.78049076,1400.0,0.1966271,0.18000000000000002,0.095,0.37952384,0.23144746,13
-21.708618,7500.0,0.7857435,1500.0,0.19653505,0.20500000000000002,0.097,0.37926123,0.2318815,14
-22.442526,8000.0,0.7907354,1600.0,0.19651298,0.1975,0.0975,0.37923422,0.23201394,15
-22.053305,8500.0,0.79603535,1700.0,0.19647478,0.2475,0.10149999999999998,0.3788977,0.2320274,16
-22.81305,9000.0,0.80144686,1800.0,0.1964015,0.21749999999999997,0.1215,0.37862125,0.23227157,17
-21.171856,9500.0,0.8070586,1900.0,0.19628961,0.30750000000000005,0.124,0.3785723,0.23225684,18
-20.649605,10000.0,0.81281954,2000.0,0.19610636,0.355,0.14650000000000002,0.3785226,0.23212211,19
-19.73225,10500.0,0.818821,2100.0,0.19583313,0.41000000000000003,0.16799999999999998,0.37841746,0.23193416,20
-18.841055,11000.0,0.82465583,2200.0,0.19567001,0.44000000000000006,0.16649999999999998,0.37849477,0.23173822,21
-17.543951,11500.0,0.8304058,2300.0,0.19554174,0.49499999999999994,0.182,0.3785008,0.23140025,22
-15.404518,12000.0,0.835978,2400.0,0.19538833,0.555,0.1905,0.37845787,0.23112668,23
-16.612465,12500.0,0.8414482,2500.0,0.19519597,0.5375000000000001,0.23399999999999999,0.37869093,0.23072039,24
